split,horizon_min,window_len,patient,candidates,rejected_target_not_observed,rejected_nan_input,rejected_imputed_frac,kept,boundary_dropped
train,60,12,559,9642,1101,585,81,7875,
train,60,12,563,10455,770,184,30,9471,
train,60,12,570,9266,454,258,20,8534,
train,60,12,575,10459,991,492,211,8765,
train,60,12,588,10461,428,176,5,9852,
train,60,12,591,10182,1828,327,51,7976,
train,60,12,540,10464,712,284,61,9407,
train,60,12,544,10115,1817,280,17,8001,
train,60,12,552,8855,1619,387,82,6767,
train,60,12,567,10806,2103,763,52,7888,
train,60,12,584,10575,714,394,116,9351,
train,60,12,596,10881,2154,334,19,8374,
val,60,12,559,2393,184,124,17,2068,23.0
val,60,12,563,2596,203,58,12,2323,23.0
val,60,12,570,2299,175,112,3,2009,23.0
val,60,12,575,2598,246,158,21,2173,23.0
val,60,12,588,2598,37,23,0,2538,23.0
val,60,12,591,2528,81,23,9,2415,23.0
val,60,12,540,2599,450,105,3,2041,23.0
val,60,12,544,2511,232,129,9,2141,23.0
val,60,12,552,2197,399,104,16,1678,23.0
val,60,12,567,2684,552,230,9,1893,23.0
val,60,12,584,2626,384,178,22,2042,23.0
val,60,12,596,2703,599,46,0,2058,23.0
test,60,12,559,2854,363,191,12,2288,
test,60,12,563,2669,122,23,0,2524,
test,60,12,570,2856,134,123,12,2587,
test,60,12,575,2696,129,97,32,2438,
test,60,12,588,2858,90,46,0,2722,
test,60,12,591,2824,87,46,0,2691,
test,60,12,540,3043,170,73,47,2753,
test,60,12,544,3113,420,69,9,2615,
test,60,12,552,3927,1586,132,14,2195,
test,60,12,567,2847,481,196,27,2143,
test,60,12,584,2972,330,178,56,2408,
test,60,12,596,2979,259,114,9,2597,
